"Class Code","Subject Code","Class Name","Subject Name","Class Suffix","Faculty Name","Faculty Code","BOS Class Code","BOS Code 2","BOS Code 3","ClassNameGuid","FacultyGuid"
"1ACC112","1ACC11","Accounting Unit 1 VCE2","Accounting Unit 1 VCE","2","HUMANITIES_ACCOUNTING","ACC","AC011","2","","{B941F8CB-3A93-4302-82E0-7B871635C30C}","{F149CC97-8F04-4341-AAD5-0A71A61C38F1}"
"1ACC125","1ACC12","Accounting Unit 3 VCE5","Accounting Unit 3 VCE","5","HUMANITIES_ACCOUNTING","ACC","AC033","5","","{7A89CA5F-8D97-4C97-84AE-BDAFFC769ECE}","{F149CC97-8F04-4341-AAD5-0A71A61C38F1}"
"1AFP107","1AFP10","Visual Arts Folio Preparation Year 10 Sem 1 Wed7","Visual Arts Folio Preparation Year 10 Sem 1 Wed","7","ARTS_VISUAL ARTS","ART","","","","{7D0B314A-7F28-488C-B837-DA5B53914961}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1AID096","1AID09","Architectual Drawing & Int. Design Year 9 Sem 16","Architectual Drawing & Int. Design Year 9 Sem 1","6","ARTS_VISUAL ARTS","ART","","","","{CAF82DC4-C888-4DD4-80CE-1E60DB137D71}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1AME113","1AME11","Art Making and Exhibiting Unit 1 VCE3","Art Making and Exhibiting Unit 1 VCE","3","ARTS_VISUAL ARTS","ART","SA011","3","","{B25CB783-2ACD-47D2-8314-8E89948C263F}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1AME123","1AME12","Art Making and Exhibiting Unit 3 VCE3","Art Making and Exhibiting Unit 3 VCE","3","ARTS_VISUAL ARTS","ART","SA033","3","","{B7F068C0-EA0E-4E27-BA36-146723E5D1BC}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1ART07B","1ART07","Art Year 7 Sem 1B","Art Year 7 Sem 1","B","ARTS_VISUAL ARTS","ART","","","","{D932FB13-0EF6-4928-9C69-CB2107D7D2C3}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1ART07D","1ART07","Art Year 7 Sem 1D","Art Year 7 Sem 1","D","ARTS_VISUAL ARTS","ART","","","","{AE0DEAA0-21C1-43CD-9A39-B019256B5DF2}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1ART08A","1ART08","Art Year 8 Sem 1A","Art Year 8 Sem 1","A","ARTS_VISUAL ARTS","ART","","","","{50E3966C-DE78-4175-8C83-FC8D0631098A}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1ART08C","1ART08","Art Year 8 Sem 1C","Art Year 8 Sem 1","C","ARTS_VISUAL ARTS","ART","","","","{FED80106-6CE6-4F69-8A56-796E5DE65C19}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1ART08E","1ART08","Art Year 8 Sem 1E","Art Year 8 Sem 1","E","ARTS_VISUAL ARTS","ART","","","","{400A74E0-54E0-44C0-8F3D-ADA87E83F265}","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}"
"1BEN107A","1BEN10","Entrepreneurship - Mini Business Year 10 Sem 1 Wed7A","Entrepreneurship - Mini Business Year 10 Sem 1 Wed","7A","HUMANITIES_BUSINESS GENERAL","BUS","","","","{DB52B1F2-6CA3-4CEC-9A17-604FA57A66CA}","{012D23ED-F6CD-4466-B7C2-62D010D6CC6E}"
"1BEN107B","1BEN10","Entrepreneurship - Mini Business Year 10 Sem 1 Wed7B","Entrepreneurship - Mini Business Year 10 Sem 1 Wed","7B","HUMANITIES_BUSINESS GENERAL","BUS","","","","{63AF7290-B13C-4E35-9225-7BA4D7ABE684}","{012D23ED-F6CD-4466-B7C2-62D010D6CC6E}"
