"Roll Class Code","Roll Class Block","ColourCode","Periods","Doubles","Triples","Quadruples","Load","Class Code","Class Name","Class Suffix","Teacher Code","Faculty Code","Room Code","Site No","Row No","ClassGroupGuid","RollClassGuid","TeacherGuid","FacultyGuid","RoomGuid","ClassNameGuid"
"ELC","A","1","11","0","0","0","1.00","1EWG01B","English Language Writing & Grammar Sem 1B","B","WIL","","SC10","1","1","{3902696A-4D1A-4297-A716-10CFA94B082D}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{7F961CE5-EAB9-439D-8730-99ABB55267E3}"
"ELC","B","7","8","0","0","0","1.00","1ERV01B","English Language Reading & Viewing Sem 1B","B","WIL","","SC10","1","1","{AA539983-7C23-4D0B-84F4-92613D7CA48F}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{BB6A9AB1-F07F-46CE-BE0B-5463FD70880E}"
"ELC","C","8","13","0","0","0","1.00","1ESL01B","English Language Speaking & Listening Sem 1B","B","PAL","","SC10","1","1","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{6228AD9F-23F9-4C3C-A9EC-A2BB78ADC6A8}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{D05AD0E1-76A6-4194-AA58-B51F8D447210}"
"ELC","D","2","6","0","0","0","1.00","1EHU01B","English Language Humanities Sem 1B","B","CHA","","SC10","1","1","{295AC715-98EE-4928-BA99-E10A6357890E}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{34596AA2-3C61-4026-BDC8-25610C7649AA}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{EBF1A538-9C29-4E5A-A733-37F562D4A4F6}"
"ELC","E","4","10","2","0","0","1.00","1ESC01B","English Language Science Sem 1B","B","CLK","","SC10","1","1","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{F27334D5-C584-414E-A107-130A75A8A4C9}"
"ELC","F","3","10","0","0","0","1.00","1EMA01B","English Language Mathematics Sem 1B","B","PEL","","SC10","1","1","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{9A879E6D-03DE-4E6B-B9CF-5DCE9067BB1D}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{1499A2F9-296C-4431-8F5F-1A84BA8F6BF6}"
"ELC","G","62","2","0","0","0","1.00","1PCR01E","Pastoral Care English Language Sem 1E","E","WIL","","SC10","1","1","{896EDD09-6532-4E25-AAA3-1705F0CF9519}","{E14458A9-9B7D-4CF7-9A0C-9A94A2FC06DB}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}","","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}","{D1D1C393-DAEB-475B-A2C6-F0ACAE30EEC3}"
"12VM","A","1","9","3","0","0","1.00","1VLIT124","Vocational Major Literacy Year 12 Sem 14","4","VOU","","R12","1","1","{A1699C50-3707-4990-884A-60F763F8BF63}","{D91C3BED-D749-40E6-9295-B618DA8DC68F}","{D7EB2A28-2089-44B1-B14E-338E0AC487E3}","","{71998A4B-E56B-4715-ADB7-6F0077F9B45F}","{02200640-3973-4458-8C2E-1CE3A3021FBA}"
"12VM","B","6","8","3","0","0","1.00","1VPD123","Vocational Major Personal Development Unit 3 VCE3","3","MAZ","","R12","1","1","{DFF398AD-CC46-4228-861E-2AF46257D7AC}","{D91C3BED-D749-40E6-9295-B618DA8DC68F}","{A9B87346-C226-4659-B2FC-9431F72E64AB}","","{71998A4B-E56B-4715-ADB7-6F0077F9B45F}","{251CF154-8A90-4BF7-8000-9055AE701A66}"
"12VM","C","9","9","0","0","0","1.00","1VWRS125","Voc. Major Work Related Skills Year 12 Sem 15","5","MIR","","R12","1","1","{D2E97866-26CA-4D8D-AC1E-2C21E7CAD597}","{D91C3BED-D749-40E6-9295-B618DA8DC68F}","{0BAFB222-49D6-481A-B018-8CA786E66FEC}","","{71998A4B-E56B-4715-ADB7-6F0077F9B45F}","{315DAC69-633B-40F3-B87E-B3A5AF69BAA7}"
"12VM","D","3","8","0","0","0","1.00","1VNUM122","Vocational Major Numeracy Year 12 Sem 12","2","CRI","","R12","1","1","{54D44BDF-7713-4CF3-B2CE-B935BF47C037}","{D91C3BED-D749-40E6-9295-B618DA8DC68F}","{528D6872-0302-4ABD-B82F-DD9A31848671}","","{71998A4B-E56B-4715-ADB7-6F0077F9B45F}","{246E0636-C5F1-45FE-BE1E-CD3B54686926}"
"12VM","E","62","2","0","0","0","1.00","1PCR12V","Pastoral Care Year 12 Sem 1V","V","VOU","","R12","1","1","{F33693DF-374C-4714-B915-A6E8A2AA9209}","{D91C3BED-D749-40E6-9295-B618DA8DC68F}","{D7EB2A28-2089-44B1-B14E-338E0AC487E3}","","{71998A4B-E56B-4715-ADB7-6F0077F9B45F}","{DA9ED15C-EAEC-4F3A-A915-64C9BECC642A}"
"11VM","A","1","9","2","0","0","1.00","1VWRS115","Voc. Major Work Related Skills Year 11 Sem 15","5","YOU","","R13","1","1","{4DA90221-AE22-4496-8485-E1C0E2A7114E}","{5492A4C1-77D9-4512-A764-A210DB020809}","{1D342E8D-9F31-47BE-983A-84C9C23F0419}","","{B5662FCA-27CE-4417-84BB-ACFDE78512FA}","{6E2D0A78-A6ED-493A-8203-0FA8FBB01CFA}"
"11VM","B","6","10","2","0","0","1.00","1VPD116","Voc. Major Personal Develop. Year 11 Sem 16","6","KNK","","R13","1","1","{33C41F7F-B8BF-46B0-A044-625220322224}","{5492A4C1-77D9-4512-A764-A210DB020809}","{1F09A348-2416-4056-BD7C-208E535CD227}","","{B5662FCA-27CE-4417-84BB-ACFDE78512FA}","{CEEB64D3-16CC-4FA0-A9D0-25AEA377BB37}"
"11VM","C","62","2","0","0","0","1.00","1PCR11V","Pastoral Care Year 11 Sem 1V","V","MIR","","R13","1","1","{1E91CAF1-BD5D-4E0E-90F2-DFB38B1AB489}","{5492A4C1-77D9-4512-A764-A210DB020809}","{0BAFB222-49D6-481A-B018-8CA786E66FEC}","","{B5662FCA-27CE-4417-84BB-ACFDE78512FA}","{75566A07-3E47-4F58-A025-AB05686DDCA1}"
"12","A","15","9","2","0","0","1.00","1ENG121","English Unit 3 VCE1","1","RIC","","SC1","1","1","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{4D3E13DC-5D7B-4A9D-BE1D-50E0BD434A8F}","","{A05AEBD4-BF47-45CC-A714-2A1357636469}","{DA71356B-D728-430E-BFEB-F510B6FB0072}"
"12","A","15","9","2","0","0","1.00","1BIO121","Biology Unit 3 VCE1","1","NIC","","S2","1","2","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{62FD502E-C727-4835-813B-5855B3D77435}","","{33B5E2FE-C2CB-405C-9EEA-09D1383A41A4}","{448D50BD-4F4B-49C5-AC14-FA4C397624CA}"
"12","A","15","9","2","0","0","1.00","1BUS121","Business Management Unit 3 VCE1","1","CNM","","R14","1","3","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{3B6AF5DE-9CB3-4643-8ABC-BB75DDF26E6F}","","{EEDE2752-43C4-4F54-8ED4-56F6F3008466}","{16EFF401-0B99-488F-BD33-4A4D3F1E7CF0}"
"12","A","15","9","2","0","0","1.00","1DTS121","Theatre Studies Unit 3 VCE1","1","HIN","","PA3","1","4","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}","","{D7B7CFC7-BAF0-4534-9A94-D502BBDBDEBA}","{A2B5001A-4DFC-4078-AAFA-6D58F8BEFC37}"
"12","A","15","9","2","0","0","1.00","1HIS121","History Unit 3 VCE1","1","VID","","SC8","1","5","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}","{8EC4F63D-6B5D-411C-8AF9-2A4B52A0160C}","{87668229-91A8-4FD3-8866-FDA868C85FC0}","","{B31EB292-858F-46C4-89D4-41585CAD588E}","{52B09E09-D246-4E00-A1F4-F05A342C54AE}"
