"Faculty Code","Faculty Name","Load Limit","Faculty Group Code","Faculty Group Name","FacultyGuid","FacultyGroupGuid"
"ACC","HUMANITIES_ACCOUNTING","0.00","","","{F149CC97-8F04-4341-AAD5-0A71A61C38F1}",""
"ESSTAFF","ES STAFF","0.00","","","{107B135D-3231-47C8-8AF5-7914FA331E87}",""
"ART","ARTS_VISUAL ARTS","0.00","","","{FA553E4A-32C4-4874-AB53-EB753F4D03B6}",""
"BIO","SCIENCE_BIOLOGY","0.00","","","{DA3E4D94-FA62-49AA-8069-F28B1DBDEE25}",""
"BUS","HUMANITIES_BUSINESS GENERAL","0.00","","","{012D23ED-F6CD-4466-B7C2-62D010D6CC6E}",""
"CCT09","CONNECT_CONNECT","0.00","","","{6823268D-BEF8-4B5B-80A0-64E78AAF7411}",""
"CHM","SCIENCE_CHEMISTRY","0.00","","","{74E0A03D-8B2C-4CB0-B590-6DAE2A8DF37A}",""
"DED","Distance Education","0.00","","","{6D65DF64-1D63-444E-A5C6-FA313B9DF50D}",""
"DRA","ARTS_DRAMA","0.00","","","{A5750A80-A969-433D-BFAC-E1239583BD52}",""
"EAL","EAL_ENGLISH","0.00","","","{32D06A35-4650-474D-9A45-F6627FEF07F7}",""
"ENG","ENGLISH_ENGLISH","0.00","","","{F5632056-9EF1-43FF-AC03-C9D367034EE7}",""
"GEO","HUMANITIES_GEOGRAPHY","0.00","","","{92E6A8C0-2F7F-4E43-88AE-F37072D64C06}",""
"HEC","TECHNOLOGY_FOODS","0.00","","","{703F613D-8F39-403A-BBDA-D72CCF187868}",""
"HHD","HEALTHPED_HHD","0.00","","","{B35B2C99-72F8-47AE-96D0-D7016803F455}",""
"HIS","HUMANITIES_HIS","0.00","","","{EF009C77-D8A6-4C4D-8E4E-F71FAB466F3A}",""
"HUM","HUMANITIES_HUMS YR 7/8","0.00","","","{600312A5-102A-42C3-A709-D04811ADD8FF}",""
"ITT","TECHNOLOGY_COMPUTER TECH","0.00","","","{6AE28751-96DA-4AFC-AA0D-FE6B0D9354FE}",""
"LAN","LANGUAGES_LANG","0.00","","","{EE037370-214D-4A2F-AE47-53A9C4B00C64}",""
"LATESUP","LATE_SUPPORT","0.00","","","{D2C2F569-5405-4428-92A1-DBC03B71631E}",""
"LEG","HUMANITIES_LEGAL","0.00","","","{361493C4-47FC-4E75-9B45-C41708393547}",""
"MED","ARTS_MEDIA","0.00","","","{0DD50198-45DA-4953-A877-A4CAB9DCFDE6}",""
"MTH","MATHS_MATHS","0.00","","","{85ECC1FA-3E50-43D5-93E1-932E30F96764}",""
"MTR","TECHNOLOGY_MATERIALS","0.00","","","{CBB0EA18-55A7-4461-8856-7AF9AE993A6A}",""
"MUS","ARTS_MUSIC","0.00","","","{A11E71B7-691E-49D1-8F3A-F03F18AD6F33}",""
"MYLNSLIT","MYLNS_LITERACY","0.00","","","{AAF3EE24-CAAF-41E2-B87F-CEEA0AB49FE1}",""
"MYLNSNUM","MYLNS_NUMERACY","0.00","","","{F425D32F-1A80-4233-9451-0C041EF42A08}",""
"PARTtime","PART TIME TEACHERS","0.00","","","{20AA139E-1325-47BC-AF33-85A17319BE78}",""
"PCR","PCR","0.00","","","{FA72734B-1106-4897-80C6-A2FC310F8969}",""
"PED","HEALTHPED_PED","0.00","","","{2190B9E3-2C62-4FBC-9D68-1D2AF28DD4D0}",""
"PHY","SCIENCE_PHYSICS","0.00","","","{2E1B153A-CE29-42CA-BDC7-A1A1171BBE9C}",""
"PSY","SCIENCE_PSYCHOLOGY","0.00","","","{91FB4D8A-A9CA-4145-A19F-07F2F8F7E95D}",""
"SCI","SCIENCE_SCIENCE JUNIOR","0.00","","","{17D16DD2-9787-4622-BAA0-C6B9A937BD36}",""
"VCAL","VCAL","0.00","","","{954A7A22-B281-4676-9000-1986A03355F3}",""
