"Faculty Name","Faculty Code","Teacher Code","Load Limit Min","Load Limit Max","FacultyGuid","TeacherGuid"
"HUMANITIES_ACCOUNTING","ACC","CNM","0","0","{F149CC97-8F04-4341-AAD5-0A71A61C38F1}","{3B6AF5DE-9CB3-4643-8ABC-BB75DDF26E6F}"
"ES STAFF","ESSTAFF","COD","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{1A2F5CD8-4513-457A-A148-36234BD686C3}"
"ES STAFF","ESSTAFF","BMC","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{B7D7DEAE-4B29-4088-A935-8C64A5B1B1F2}"
"ES STAFF","ESSTAFF","DAW","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{75B5A119-F7D0-4448-90E2-990305262463}"
"ES STAFF","ESSTAFF","DNS","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{3E8F0B4F-89B8-4AF4-8D25-42DF077A87C3}"
"ES STAFF","ESSTAFF","FLO","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{D9B78CC6-5A42-4F42-A389-0B93A8FE43D5}"
"ES STAFF","ESSTAFF","FOL","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{E6E9D8D8-9453-47AD-ABDF-7C27DDF3FE36}"
"ES STAFF","ESSTAFF","GGR","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{21091019-1684-46EE-92DB-1435308C23DA}"
"ES STAFF","ESSTAFF","HAR","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{1126D2C7-6DAE-4A86-B53A-DD6A4E639892}"
"ES STAFF","ESSTAFF","HAW","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{83B07F1D-E1AF-440E-85EC-B80B2573E984}"
"ES STAFF","ESSTAFF","HES","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{775037AC-904A-4242-A845-F4B97873BF3D}"
"ES STAFF","ESSTAFF","HAO","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{7011DF2F-8CF7-4078-A01D-F6A075FA36EA}"
"ES STAFF","ESSTAFF","HOW","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{502E6377-F4A7-47BE-B86D-E15D6C5C20AA}"
"ES STAFF","ESSTAFF","HNL","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{5619D261-24DB-457E-8EED-E39DEEDF24BB}"
"ES STAFF","ESSTAFF","HTD","0","0","{107B135D-3231-47C8-8AF5-7914FA331E87}","{F9426828-132A-4C88-8344-33FFE8DAC8BA}"
