"Group","Column No","GroupID"
"08A G","5","{EE641FBC-C911-4007-B280-C786685D16C2}"
"08A G","6","{EE641FBC-C911-4007-B280-C786685D16C2}"
"08A G","57","{EE641FBC-C911-4007-B280-C786685D16C2}"
"08A G","58","{EE641FBC-C911-4007-B280-C786685D16C2}"
"10 J","35","{D7341C48-83FE-47CF-B12D-740BED48ADE3}"
"10 J","36","{D7341C48-83FE-47CF-B12D-740BED48ADE3}"
"07A G","52","{798EDC68-CDBA-44A9-8F58-868C251940D0}"
"07A G","17","{798EDC68-CDBA-44A9-8F58-868C251940D0}"
"07A G","12","{798EDC68-CDBA-44A9-8F58-868C251940D0}"
"07A G","13","{798EDC68-CDBA-44A9-8F58-868C251940D0}"
"ELC A","1","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","2","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","3","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","4","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","5","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","6","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","7","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","8","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","9","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC A","10","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC B","16","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","17","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","18","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","19","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","20","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","21","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","22","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC B","23","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC C","24","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","25","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","26","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","27","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","28","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","29","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","30","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","31","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","32","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","33","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC C","34","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC D","35","{295AC715-98EE-4928-BA99-E10A6357890E}"
"ELC D","36","{295AC715-98EE-4928-BA99-E10A6357890E}"
"ELC D","37","{295AC715-98EE-4928-BA99-E10A6357890E}"
"ELC D","38","{295AC715-98EE-4928-BA99-E10A6357890E}"
"ELC E","39","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","40","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","41","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","42","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","43","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","44","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","45","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC E","46","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC F","49","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","50","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","51","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","52","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","53","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","54","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
