"Group","Class Groups","Period Allocations","Block Allocations","Periods Unavailable","GroupGuid"
"08A G","3","4","4","0","{EE641FBC-C911-4007-B280-C786685D16C2}"
"12 K","2","4","0","0","{2B556F98-02E4-4AED-A480-69A3859E53FB}"
"08D E","2","6","0","0","{C151229C-9C7E-4ACF-B1DE-EB98CC3D839E}"
"08A F","2","4","0","0","{DF1BB85F-F2E3-4434-8E35-C3023AB4EF5F}"
"12 A","3","9","0","0","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}"
"12 B","3","9","0","0","{131F60AC-7592-4B07-921C-1001C5429A71}"
"10 J","7","4","2","0","{D7341C48-83FE-47CF-B12D-740BED48ADE3}"
"12 C","3","9","0","0","{64D0FE18-3E39-462F-8AEE-D094A8292A3C}"
"12 D","3","8","0","0","{D1C8C904-BF9A-42B0-9D81-0E389BDC27E9}"
"12 F","3","9","0","0","{598A81E6-950D-4837-A3DF-E8CCEA3F3674}"
"07A G","3","4","4","0","{798EDC68-CDBA-44A9-8F58-868C251940D0}"
"09A H","6","6","0","0","{B599E62B-CFCB-442A-825A-F030CBC2A840}"
"12 I","3","2","0","0","{BEA072A6-7C97-459F-98A4-26D321A2D9C5}"
"12 H","3","1","0","0","{8427AB40-4037-495F-8022-54879FFCA7B4}"
"12 G","9","6","0","0","{44488D76-B2CB-407F-AB17-D4AE42DED1BA}"
"12 E","3","1","0","0","{6FF38F8E-C1BA-47D2-8C41-C222D5403DAB}"
"ELC A","1","11","10","0","{3902696A-4D1A-4297-A716-10CFA94B082D}"
"ELC B","1","8","8","0","{AA539983-7C23-4D0B-84F4-92613D7CA48F}"
"ELC C","1","13","11","0","{D6342088-8FE3-484B-8FC4-047CD8D5E85C}"
"ELC D","1","6","4","0","{295AC715-98EE-4928-BA99-E10A6357890E}"
"ELC E","1","10","8","0","{00EB9ED0-57FD-4E1E-8959-A253D1AFC1D2}"
"ELC F","1","10","10","0","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC G","1","2","2","0","{896EDD09-6532-4E25-AAA3-1705F0CF9519}"
"12VM A","1","9","0","24","{A1699C50-3707-4990-884A-60F763F8BF63}"
"12VM B","1","8","0","24","{DFF398AD-CC46-4228-861E-2AF46257D7AC}"
"12VM C","1","9","0","24","{D2E97866-26CA-4D8D-AC1E-2C21E7CAD597}"
"12VM D","1","8","0","24","{54D44BDF-7713-4CF3-B2CE-B935BF47C037}"
"12VM E","1","2","1","0","{F33693DF-374C-4714-B915-A6E8A2AA9209}"
"11VM A","1","9","9","39","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM B","1","10","10","39","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM C","1","2","1","0","{1E91CAF1-BD5D-4E0E-90F2-DFB38B1AB489}"
"12 J","1","2","0","0","{040B7AC9-14BC-4B4B-B434-3FB6FA1B00EF}"
"11 J","1","2","0","0","{867C3C3B-E36E-409A-AB84-F1A516F9073A}"
"10 K","1","2","0","0","{35DDFCE8-78D3-4BF1-9620-5ADD94DD64D7}"
"09A A","1","9","1","0","{F94A437B-F4CC-474A-9050-D5AC4DC19A53}"
"09A B","1","8","4","0","{4BFA0A39-3922-49A2-BA90-E59EA6217B3F}"
"09A C","1","9","9","0","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A D","1","8","6","0","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A E","1","4","4","0","{07AEA0A7-12DA-41BF-9298-6D9863892746}"
"09A F","1","4","0","0","{717980AD-B294-4AD2-922F-6C10855E5D15}"
"09A J","1","2","1","0","{1F6920E1-AC2C-4378-9046-E9B7049B72BF}"
"09B A","1","9","0","0","{76A24975-1227-4056-B4D4-48FA66DAC910}"
"09B B","1","8","0","0","{15A66744-47F3-4414-AA26-1663CD3918D3}"
"09B C","1","9","0","0","{680C79AD-F670-4484-92CD-F2B32E926D82}"
