"Default Code","Name","Code","MRCGID","Class Group Code","ClassGroupID"
"08A G","PASEYear8","PASEYR8","{37FD0E41-D599-4491-AF8D-123EF60127E0}","08A G","{EE641FBC-C911-4007-B280-C786685D16C2}"
"08A G","PASEYear8","PASEYR8","{37FD0E41-D599-4491-AF8D-123EF60127E0}","08B G","{CA6EE380-D2FE-46D3-A9A7-44604002D8DC}"
"08A G","PASEYear8","PASEYR8","{37FD0E41-D599-4491-AF8D-123EF60127E0}","08C G","{BD0CC138-815A-4FFB-9396-24C0EA607F90}"
"12 K","DED","DED","{CF0BB4C5-49E3-4A9F-A239-EFFBEC76CC9B}","12 K","{2B556F98-02E4-4AED-A480-69A3859E53FB}"
"12 K","DED","DED","{CF0BB4C5-49E3-4A9F-A239-EFFBEC76CC9B}","11 K","{8C9A6C04-B55E-4929-82DC-74212F050597}"
"08D E","EAL/LAN7&8D","EAL/LAN7&8D","{1D8D954F-7AA5-4EDE-9090-BBBD0E5CF02A}","08D E","{C151229C-9C7E-4ACF-B1DE-EB98CC3D839E}"
"08D E","EAL/LAN7&8D","EAL/LAN7&8D","{1D8D954F-7AA5-4EDE-9090-BBBD0E5CF02A}","07D E","{C76A9129-F7B1-4ECD-89BE-9B6B6C793590}"
"08A F","8A8CPED","8A8CPED","{A071799C-7D48-44D5-866A-138D56C5BA2D}","08A F","{DF1BB85F-F2E3-4434-8E35-C3023AB4EF5F}"
"08A F","8A8CPED","8A8CPED","{A071799C-7D48-44D5-866A-138D56C5BA2D}","08C F","{55B96601-3675-4BFD-8CAB-7B4B88C4CE21}"
"12 A","1","","{10DA4B4A-CB2F-44C8-8157-168B23E4C5FC}","12 A","{882B0406-6BAC-4F31-B159-A7D37CA9DE6C}"
"12 A","1","","{10DA4B4A-CB2F-44C8-8157-168B23E4C5FC}","11 A","{2CD4297D-FD57-48C0-B83F-71CC02B7125D}"
"12 A","1","","{10DA4B4A-CB2F-44C8-8157-168B23E4C5FC}","10 A","{2FA1D8E2-D503-41FF-90E3-303176E4C246}"
"12 B","2","","{91661EF6-B96D-4005-85B7-31ED7A95609A}","12 B","{131F60AC-7592-4B07-921C-1001C5429A71}"
"12 B","2","","{91661EF6-B96D-4005-85B7-31ED7A95609A}","11 B","{A6F65AF2-5B5E-472B-9BD3-3A0014162197}"
"12 B","2","","{91661EF6-B96D-4005-85B7-31ED7A95609A}","10 B","{BDB7F698-D75F-452F-BB36-D97A40E3A54F}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","10 J","{D7341C48-83FE-47CF-B12D-740BED48ADE3}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","09A G","{F1ED5931-E1BA-4138-B7BF-7D079E05FDD6}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","09B G","{BB1398E1-5780-443A-839F-2F1BABCA9DC4}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","09C H","{EB3515B8-A2E1-4116-9C11-F15693442F75}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","09D G","{6493372B-D2BE-4E88-8789-4F006EB1A7E7}"
"10 J","Connect Year 9","CCT09","{DC861EF0-3515-40A0-B032-650AEDEF9D1D}","09E G","{5D85F5A4-78F9-4ADD-89C4-D4723C0E23DA}"
