"Room Code","Day No","Period No","Reason"
"SC1","3","5","Unavailable"
"SC1","3","6","Unavailable"
"SC1","8","5","Unavailable"
"SC1","8","6","Unavailable"
"SC2","3","5","Unavailable"
"SC2","3","6","Unavailable"
"SC2","8","5","Unavailable"
"SC2","8","6","Unavailable"
"SC3","3","5","Unavailable"
"SC3","3","6","Unavailable"
"SC3","8","5","Unavailable"
"SC3","8","6","Unavailable"
"SC4","3","5","Unavailable"
"SC4","3","6","Unavailable"
"SC4","8","5","Unavailable"
"SC4","8","6","Unavailable"
"SC5","3","5","Unavailable"
"SC5","3","6","Unavailable"
"SC5","8","5","Unavailable"
"SC5","8","6","Unavailable"
"SC6","3","5","Unavailable"
"SC6","3","6","Unavailable"
"SC6","8","5","Unavailable"
"SC6","8","6","Unavailable"
"PA4","5","4","Unavailable"
"PA5","1","1","Unavailable"
"PA5","1","2","Unavailable"
"PA5","1","3","Unavailable"
"PA5","1","4","Unavailable"
"PA5","1","5","Unavailable"
"PA5","1","6","Unavailable"
"AUD","1","6","Unavailable"
"AUD","2","1","Unavailable"
"AUD","2","2","Unavailable"
"AUD","3","4","Unavailable"
"AUD","5","4","Unavailable"
"AUD","7","3","Unavailable"
"AUD","7","4","Unavailable"
"AUD","8","1","Unavailable"
"AUD","10","5","Unavailable"
