"Room Code","Room Name","Room Seats","Room Notes","Room Site No","RoomGuid"
"SC1","SC1 Maths","26","Senior Centre GPC Maths","1","{A05AEBD4-BF47-45CC-A714-2A1357636469}"
"SC2","SC2 English","26","Senior Centre GPC Bus Hums","1","{C5B83D22-5FA7-4762-8DDD-03B8B2ED9E31}"
"SC3","SC3 Psych HHD Hums","26","Senior Centre GPC Psych Legal","1","{E610ABD1-0D8C-4FD3-B188-79FFF7E97209}"
"SC4","SC4 Maths English","26","Senior Centre GPC Maths","1","{C685EFCE-E49F-4802-8C40-A526D0B2885D}"
"SC5","SC5 Hums English","26","Senior Centre GPC English","1","{BAE55C66-916A-49E3-9543-7043DE7BE607}"
"SC6","SC6 HHD PE","26","Senior GPC Health PE Psy","1","{F255817B-E668-4229-84B1-4B389C7F8C9C}"
"SC7","SC7 HHD PE","26","Senior GPC Health PE","1","{23BF3753-F584-4992-AA10-D69C8F37A0D9}"
"SC8","SC8","26","Senior GPC Eng Maths","1","{B31EB292-858F-46C4-89D4-41585CAD588E}"
"SC9","SC9","26","Senior GPC EAL Eng","1","{7574F79C-DFD8-4B88-A30B-AEE5F628ACC4}"
"SC10","SC10 ELC","0","International Students Study. Do not timetable","1","{9FB279A2-1C86-4CA4-9803-6C08046BBF71}"
"TC1","TC1 - P S Hums","30","GPC Year 7 Humanities PROJECTOR","1","{A195018F-53A4-452E-8A91-25D35BE89EE8}"
"TC2","TC2 - TV Hums","30","GPC Year 7 Humanities PLASMA","1","{1DDAE3A5-1647-4ACA-B92E-A61B6831B1C2}"
"TC3","TC3 - TV LAN","30","GPC LAN can be joined to TC4","1","{52A7647D-EED7-484D-8243-F04E1F9588AF}"
"TC4","TC4 - TV LAN","30","GPC LAN can be joined to TC3","1","{83EAD294-1F84-4965-B7FB-112E5CA6958E}"
"TC5","TC5 - TV Math","30","GPC Year 7 Maths PLASMA PROJECTOR","1","{EF229366-F5C9-4E16-827A-6BBD8716DBE6}"
"TC6","TC6 - TV Math","30","GPC Year 7 Maths PLASMA","1","{83474DFA-FC14-4FD4-8B92-AD53D107DA9B}"
"B1","B1","26","GPC TV Class 07A","1","{46F31449-B370-4DF6-8118-60FA6F8BA8F4}"
"B2","B2","26","GPC TV Class 07B","1","{1741A8BC-0B59-4154-B130-FFEC7B9FE273}"
"B3","B3 LANG","26","GPC TV Class 07E","1","{E26593A7-C641-4114-A210-B80101A87DA6}"
"B4","B4 LANG","26","GPC TV Class 08A NO BACKFILL","1","{5AC82098-CEF3-475D-83CC-C3B4C93F73CC}"
"B5","B5 7A","26","GPC TV Class 08C NO BACKFILL","1","{1B265DE5-59A1-4E14-ADFD-FAC4362FFFBF}"
"B6","B6 GPC TV 7C","26","GPC TV Class 07C NO BACKFILL","1","{8A6B3D71-16B1-49CE-82A2-AC498CD41317}"
