"Teacher Code","Yard Duty Area Name"
"ALL","AreaAFrontSchool"
"ALP","AreaBCanteen"
"ALP","AreaCOval"
"ALP","AreaDGymSocPACFr&Oval"
"ALP","AreaEYr7area&BBCourts"
"ALP","AreaFLockersBWing"
"ALP","AreaGSci&InsideSenCentre"
"ALP","AreaHLibraryatLunch"
"ALP","BusStop1OppositeSide"
"ALP","BusStop2SchoolSide"
"ADF","AreaAFrontSchool"
"ADF","AreaBCanteen"
"ADF","AreaCOval"
"ADF","AreaDGymSocPACFr&Oval"
"ADF","AreaGSci&InsideSenCentre"
"ADF","BusStop1OppositeSide"
"ADF","AreaKSeniorToilets"
"ADF","AreaFLockersBWing"
"ARN","AreaAFrontSchool"
"BAK","AreaAFrontSchool"
"BAK","AreaHLibraryatLunch"
"BML","AreaAFrontSchool"
"BML","AreaCOval"
"BML","AreaEYr7area&BBCourts"
"BML","AreaFLockersBWing"
"BML","AreaDGymSocPACFr&Oval"
"BML","AreaHLibraryatLunch"
"BML","BusStop2SchoolSide"
"BML","BusStop1OppositeSide"
"BML","AreaLJuniorToilets"
"BII","AreaAFrontSchool"
"CDS","AreaAFrontSchool"
"CNM","AreaAFrontSchool"
"CAS","AreaAFrontSchool"
"CAS","AreaBCanteen"
"CAS","AreaCOval"
"CAS","AreaDGymSocPACFr&Oval"
"CAS","AreaEYr7area&BBCourts"
"CAS","AreaFLockersBWing"
"CAS","AreaGSci&InsideSenCentre"
"CAS","AreaHLibraryatLunch"
"CAS","BusStop1OppositeSide"
"CAS","BusStop2SchoolSide"
"CAS","AreaKSeniorToilets"
"CAS","AreaLJuniorToilets"
"CHA","AreaAFrontSchool"
"CHG","AreaAFrontSchool"
"CDA","AreaAFrontSchool"
"CLA","AreaAFrontSchool"
"CLK","AreaAFrontSchool"
"CKS","AreaAFrontSchool"
"CRA","AreaAFrontSchool"
"CRA","AreaBCanteen"
"CRA","AreaCOval"
"CRA","AreaDGymSocPACFr&Oval"
"CRA","AreaFLockersBWing"
"CRA","BusStop1OppositeSide"
"CRA","BusStop2SchoolSide"
"CRA","AreaGSci&InsideSenCentre"
"CRA","AreaHLibraryatLunch"
"CRA","AreaKSeniorToilets"
"CRA","AreaEYr7area&BBCourts"
"CRI","AreaAFrontSchool"
"DYL","AreaAFrontSchool"
"FEL","AreaAFrontSchool"
"FEJ","AreaAFrontSchool"
"FIT","AreaAFrontSchool"
"GAM","AreaAFrontSchool"
"GIB","AreaAFrontSchool"
"HIN","AreaAFrontSchool"
"HIN","AreaBCanteen"
"HIN","AreaCOval"
"HIN","AreaDGymSocPACFr&Oval"
"HIN","AreaEYr7area&BBCourts"
"HIN","AreaFLockersBWing"
"HIN","AreaHLibraryatLunch"
"HIN","AreaLJuniorToilets"
"HLE","AreaAFrontSchool"
"HOP","AreaAFrontSchool"
"HOY","AreaAFrontSchool"
"KEJ","AreaAFrontSchool"
"KEJ","AreaCOval"
"KEJ","AreaDGymSocPACFr&Oval"
"KEJ","AreaGSci&InsideSenCentre"
"KEJ","AreaHLibraryatLunch"
"KEJ","AreaKSeniorToilets"
"KNK","AreaAFrontSchool"
"KNO","AreaAFrontSchool"
"KNO","AreaBCanteen"
"KNO","AreaCOval"
"KNO","AreaDGymSocPACFr&Oval"
"KNO","AreaGSci&InsideSenCentre"
"KNO","AreaHLibraryatLunch"
"LIA","AreaAFrontSchool"
"MAN","AreaAFrontSchool"
"MAR","AreaAFrontSchool"
"MLM","AreaAFrontSchool"
"MAZ","AreaAFrontSchool"
"MAZ","AreaBCanteen"
"MAZ","AreaEYr7area&BBCourts"
"MCI","AreaAFrontSchool"
"MCI","AreaBCanteen"
"MCI","AreaCOval"
"MCI","AreaDGymSocPACFr&Oval"
"MCI","AreaEYr7area&BBCourts"
"MCI","AreaFLockersBWing"
"MCI","AreaHLibraryatLunch"
"MCI","BusStop1OppositeSide"
"MCI","BusStop2SchoolSide"
"MIR","AreaAFrontSchool"
"MRE","AreaAFrontSchool"
"MMH","AreaAFrontSchool"
"MMH","AreaCOval"
"MMH","AreaDGymSocPACFr&Oval"
"MMH","AreaEYr7area&BBCourts"
"MMH","AreaFLockersBWing"
"MMH","AreaBCanteen"
"MMH","AreaGSci&InsideSenCentre"
"MMH","BusStop1OppositeSide"
"MMH","BusStop2SchoolSide"
"MMH","AreaLJuniorToilets"
"NIC","AreaBCanteen"
"NIC","AreaCOval"
"NIC","AreaDGymSocPACFr&Oval"
"NIC","AreaEYr7area&BBCourts"
"NIC","AreaFLockersBWing"
"NIC","AreaGSci&InsideSenCentre"
"NIC","AreaHLibraryatLunch"
"NIC","BusStop1OppositeSide"
"NIC","BusStop2SchoolSide"
"OBR","AreaAFrontSchool"
"OBR","AreaBCanteen"
"OBR","AreaCOval"
"OBR","AreaDGymSocPACFr&Oval"
"OBR","AreaGSci&InsideSenCentre"
"OBR","AreaHLibraryatLunch"
"OBR","BusStop1OppositeSide"
"OBR","BusStop2SchoolSide"
"OBR","AreaKSeniorToilets"
"OHA","AreaAFrontSchool"
"OSH","AreaAFrontSchool"
"OSH","AreaBCanteen"
"OSH","AreaCOval"
"OSH","AreaDGymSocPACFr&Oval"
"OSH","AreaGSci&InsideSenCentre"
"OSH","AreaEYr7area&BBCourts"
"OSH","AreaHLibraryatLunch"
"OSH","AreaKSeniorToilets"
"PAL","AreaAFrontSchool"
"PAL","AreaBCanteen"
"PAL","AreaCOval"
"PAL","AreaDGymSocPACFr&Oval"
"PAL","AreaFLockersBWing"
"PAL","BusStop1OppositeSide"
"PAL","BusStop2SchoolSide"
"PAL","AreaGSci&InsideSenCentre"
"PAL","AreaHLibraryatLunch"
