"Day No","Period No","Teacher Code","Precedes","Session No","Session Name","Session Code","Unavailable"
"1","2","COD","False","1","AfterPeriod2Day1","R","True"
"1","1","COD","True","1","Before Period1 Day 1","BS","True"
"1","4","COD","False","1","AfterPeriod4Day1","L1","True"
"1","5","COD","True","1","BeforePeriod5Day1","L2","True"
"1","6","COD","False","1","AfterPeriod6Day1","AS","True"
"2","1","COD","True","1","Before Period 1 Day 2","BS","True"
"2","2","COD","False","1","After Period 2 Day 2","R","True"
"2","4","COD","False","1","After Period 4 Day 2","L1","True"
"2","5","COD","True","1","Before Period 5 Day 2","L2","True"
"2","6","COD","False","1","After Period 6 Day 2","AS","True"
"3","1","COD","True","1","Before Period 1 Day 3","BS","True"
"3","2","COD","False","1","After Period 2 Day 3","R","True"
"3","4","COD","False","1","After Period 4 Day 3","L1","True"
"3","5","COD","True","1","Before Period 5 Day 3","L2","True"
"3","6","COD","False","1","After Period 6 Day 3","AS","True"
"4","1","COD","True","1","Before Period 1 Day 4","BS","True"
"4","2","COD","False","1","After Period 2 Day 4","R","True"
"4","4","COD","False","1","After Period 4 Day 4","L1","True"
"4","5","COD","True","1","Before Period 5 Day 4","L2","True"
"4","6","COD","False","1","After Period 6 Day 4","AS","True"
"5","1","COD","True","1","Before Period 1 Day 5","BS","True"
"5","2","COD","False","1","After Period 2 Day 5","R","True"
"5","4","COD","False","1","After Period 4 Day 5","L1","True"
"5","5","COD","True","1","Before Period 5 Day 5","L2","True"
"6","1","COD","True","1","Before Period 1 Day 6","BS","True"
"5","6","COD","False","1","After Period 6 Day 5","AS","True"
"6","2","COD","False","1","After Period 2 Day 6","R","True"
"6","5","COD","True","1","Before Period 5 Day 6","L2","True"
"6","4","COD","False","1","After Period 4 Day 6","L1","True"
"6","6","COD","False","1","After Period 6 Day 6","AS","True"
"7","1","COD","True","1","Before Period 1 Day 7","BS","True"
"7","2","COD","False","1","After Period 2 Day 7","R","True"
"7","4","COD","False","1","After Period 4 Day 7","L1","True"
"7","5","COD","True","1","Before Period 5 Day 7","L2","True"
"7","6","COD","False","1","After Period 6 Day 7","AS","True"
"8","1","COD","True","1","Before Period 1 Day 8","BS","True"
"8","2","COD","False","1","After Period 2 Day 8","R","True"
"8","4","COD","False","1","After Period 4 Day 8","L1","True"
"8","5","COD","True","1","Before Period 5 Day 8","L2","True"
"8","6","COD","False","1","After Period 6 Day 8","AS","True"
"9","1","COD","True","1","Before Period 1 Day 9","BS","True"
"9","2","COD","False","1","After Period 2 Day 9","R","True"
"9","4","COD","False","1","After Period 4 Day 9","L1","True"
"9","5","COD","True","1","Before Period 5 Day 9","L2","True"
"9","6","COD","False","1","After Period 6 Day 9","AS","True"
"10","1","COD","True","1","Before Period 1 Day 10","BS","True"
"10","2","COD","False","1","After Period 2 Day 10","R","True"
"10","4","COD","False","1","After Period 4 Day 10","L1","True"
"10","5","COD","True","1","Before Period 5 Day 10","L2","True"
"10","6","COD","False","1","After Period 6 Day 10","AS","True"
"1","2","BMC","False","1","AfterPeriod2Day1","R","True"
"1","4","BMC","False","1","AfterPeriod4Day1","L1","True"
"1","5","BMC","True","1","BeforePeriod5Day1","L2","True"
"1","1","BMC","True","1","Before Period1 Day 1","BS","True"
"1","6","BMC","False","1","AfterPeriod6Day1","AS","True"
"2","1","BMC","True","1","Before Period 1 Day 2","BS","True"
"2","2","BMC","False","1","After Period 2 Day 2","R","True"
"2","4","BMC","False","1","After Period 4 Day 2","L1","True"
"2","5","BMC","True","1","Before Period 5 Day 2","L2","True"
"2","6","BMC","False","1","After Period 6 Day 2","AS","True"
"3","1","BMC","True","1","Before Period 1 Day 3","BS","True"
"3","2","BMC","False","1","After Period 2 Day 3","R","True"
"3","4","BMC","False","1","After Period 4 Day 3","L1","True"
"3","5","BMC","True","1","Before Period 5 Day 3","L2","True"
"3","6","BMC","False","1","After Period 6 Day 3","AS","True"
"4","1","BMC","True","1","Before Period 1 Day 4","BS","True"
"4","2","BMC","False","1","After Period 2 Day 4","R","True"
"4","4","BMC","False","1","After Period 4 Day 4","L1","True"
"4","5","BMC","True","1","Before Period 5 Day 4","L2","True"
"4","6","BMC","False","1","After Period 6 Day 4","AS","True"
"5","1","BMC","True","1","Before Period 1 Day 5","BS","True"
"5","2","BMC","False","1","After Period 2 Day 5","R","True"
"5","4","BMC","False","1","After Period 4 Day 5","L1","True"
"5","5","BMC","True","1","Before Period 5 Day 5","L2","True"
"5","6","BMC","False","1","After Period 6 Day 5","AS","True"
"6","1","BMC","True","1","Before Period 1 Day 6","BS","True"
"6","2","BMC","False","1","After Period 2 Day 6","R","True"
"6","4","BMC","False","1","After Period 4 Day 6","L1","True"
"6","5","BMC","True","1","Before Period 5 Day 6","L2","True"
"6","6","BMC","False","1","After Period 6 Day 6","AS","True"
"7","1","BMC","True","1","Before Period 1 Day 7","BS","True"
"7","2","BMC","False","1","After Period 2 Day 7","R","True"
"7","4","BMC","False","1","After Period 4 Day 7","L1","True"
"7","5","BMC","True","1","Before Period 5 Day 7","L2","True"
"7","6","BMC","False","1","After Period 6 Day 7","AS","True"
"8","1","BMC","True","1","Before Period 1 Day 8","BS","True"
"8","2","BMC","False","1","After Period 2 Day 8","R","True"
"8","4","BMC","False","1","After Period 4 Day 8","L1","True"
"8","5","BMC","True","1","Before Period 5 Day 8","L2","True"
"8","6","BMC","False","1","After Period 6 Day 8","AS","True"
"9","1","BMC","True","1","Before Period 1 Day 9","BS","True"
"9","2","BMC","False","1","After Period 2 Day 9","R","True"
"9","4","BMC","False","1","After Period 4 Day 9","L1","True"
"9","5","BMC","True","1","Before Period 5 Day 9","L2","True"
"9","6","BMC","False","1","After Period 6 Day 9","AS","True"
"10","1","BMC","True","1","Before Period 1 Day 10","BS","True"
"10","2","BMC","False","1","After Period 2 Day 10","R","True"
"10","4","BMC","False","1","After Period 4 Day 10","L1","True"
"10","5","BMC","True","1","Before Period 5 Day 10","L2","True"
"10","6","BMC","False","1","After Period 6 Day 10","AS","True"
"1","2","DAW","False","1","AfterPeriod2Day1","R","True"
"1","4","DAW","False","1","AfterPeriod4Day1","L1","True"
"1","5","DAW","True","1","BeforePeriod5Day1","L2","True"
"1","1","DAW","True","1","Before Period1 Day 1","BS","True"
"1","6","DAW","False","1","AfterPeriod6Day1","AS","True"
"2","1","DAW","True","1","Before Period 1 Day 2","BS","True"
"2","2","DAW","False","1","After Period 2 Day 2","R","True"
"2","4","DAW","False","1","After Period 4 Day 2","L1","True"
"2","5","DAW","True","1","Before Period 5 Day 2","L2","True"
"2","6","DAW","False","1","After Period 6 Day 2","AS","True"
"3","1","DAW","True","1","Before Period 1 Day 3","BS","True"
"3","2","DAW","False","1","After Period 2 Day 3","R","True"
"3","4","DAW","False","1","After Period 4 Day 3","L1","True"
"3","5","DAW","True","1","Before Period 5 Day 3","L2","True"
"3","6","DAW","False","1","After Period 6 Day 3","AS","True"
"4","1","DAW","True","1","Before Period 1 Day 4","BS","True"
"4","2","DAW","False","1","After Period 2 Day 4","R","True"
"4","4","DAW","False","1","After Period 4 Day 4","L1","True"
"4","5","DAW","True","1","Before Period 5 Day 4","L2","True"
"4","6","DAW","False","1","After Period 6 Day 4","AS","True"
"5","1","DAW","True","1","Before Period 1 Day 5","BS","True"
"5","2","DAW","False","1","After Period 2 Day 5","R","True"
"5","4","DAW","False","1","After Period 4 Day 5","L1","True"
"5","5","DAW","True","1","Before Period 5 Day 5","L2","True"
"5","6","DAW","False","1","After Period 6 Day 5","AS","True"
"6","1","DAW","True","1","Before Period 1 Day 6","BS","True"
"6","2","DAW","False","1","After Period 2 Day 6","R","True"
"6","4","DAW","False","1","After Period 4 Day 6","L1","True"
"6","5","DAW","True","1","Before Period 5 Day 6","L2","True"
"6","6","DAW","False","1","After Period 6 Day 6","AS","True"
"7","1","DAW","True","1","Before Period 1 Day 7","BS","True"
"7","2","DAW","False","1","After Period 2 Day 7","R","True"
"7","4","DAW","False","1","After Period 4 Day 7","L1","True"
"7","5","DAW","True","1","Before Period 5 Day 7","L2","True"
"7","6","DAW","False","1","After Period 6 Day 7","AS","True"
"8","1","DAW","True","1","Before Period 1 Day 8","BS","True"
"8","2","DAW","False","1","After Period 2 Day 8","R","True"
"8","4","DAW","False","1","After Period 4 Day 8","L1","True"
"8","5","DAW","True","1","Before Period 5 Day 8","L2","True"
"8","6","DAW","False","1","After Period 6 Day 8","AS","True"
"9","1","DAW","True","1","Before Period 1 Day 9","BS","True"
"9","2","DAW","False","1","After Period 2 Day 9","R","True"
"9","4","DAW","False","1","After Period 4 Day 9","L1","True"
"9","5","DAW","True","1","Before Period 5 Day 9","L2","True"
"9","6","DAW","False","1","After Period 6 Day 9","AS","True"
"10","1","DAW","True","1","Before Period 1 Day 10","BS","True"
"10","2","DAW","False","1","After Period 2 Day 10","R","True"
"10","4","DAW","False","1","After Period 4 Day 10","L1","True"
"10","5","DAW","True","1","Before Period 5 Day 10","L2","True"
"10","6","DAW","False","1","After Period 6 Day 10","AS","True"
"1","2","FLO","False","1","AfterPeriod2Day1","R","True"
"1","4","FLO","False","1","AfterPeriod4Day1","L1","True"
"1","5","FLO","True","1","BeforePeriod5Day1","L2","True"
"1","1","FLO","True","1","Before Period1 Day 1","BS","True"
"1","6","FLO","False","1","AfterPeriod6Day1","AS","True"
"2","1","FLO","True","1","Before Period 1 Day 2","BS","True"
"2","2","FLO","False","1","After Period 2 Day 2","R","True"
"2","4","FLO","False","1","After Period 4 Day 2","L1","True"
"2","5","FLO","True","1","Before Period 5 Day 2","L2","True"
"2","6","FLO","False","1","After Period 6 Day 2","AS","True"
"3","1","FLO","True","1","Before Period 1 Day 3","BS","True"
"3","2","FLO","False","1","After Period 2 Day 3","R","True"
"3","4","FLO","False","1","After Period 4 Day 3","L1","True"
"3","5","FLO","True","1","Before Period 5 Day 3","L2","True"
"3","6","FLO","False","1","After Period 6 Day 3","AS","True"
"4","1","FLO","True","1","Before Period 1 Day 4","BS","True"
"4","2","FLO","False","1","After Period 2 Day 4","R","True"
"4","4","FLO","False","1","After Period 4 Day 4","L1","True"
"4","5","FLO","True","1","Before Period 5 Day 4","L2","True"
"4","6","FLO","False","1","After Period 6 Day 4","AS","True"
"5","1","FLO","True","1","Before Period 1 Day 5","BS","True"
"5","2","FLO","False","1","After Period 2 Day 5","R","True"
"5","4","FLO","False","1","After Period 4 Day 5","L1","True"
"5","5","FLO","True","1","Before Period 5 Day 5","L2","True"
"5","6","FLO","False","1","After Period 6 Day 5","AS","True"
"6","1","FLO","True","1","Before Period 1 Day 6","BS","True"
"6","2","FLO","False","1","After Period 2 Day 6","R","True"
"6","4","FLO","False","1","After Period 4 Day 6","L1","True"
"6","5","FLO","True","1","Before Period 5 Day 6","L2","True"
"6","6","FLO","False","1","After Period 6 Day 6","AS","True"
"7","1","FLO","True","1","Before Period 1 Day 7","BS","True"
"7","2","FLO","False","1","After Period 2 Day 7","R","True"
"7","4","FLO","False","1","After Period 4 Day 7","L1","True"
"7","5","FLO","True","1","Before Period 5 Day 7","L2","True"
"7","6","FLO","False","1","After Period 6 Day 7","AS","True"
"8","1","FLO","True","1","Before Period 1 Day 8","BS","True"
"8","2","FLO","False","1","After Period 2 Day 8","R","True"
"8","4","FLO","False","1","After Period 4 Day 8","L1","True"
"8","5","FLO","True","1","Before Period 5 Day 8","L2","True"
"8","6","FLO","False","1","After Period 6 Day 8","AS","True"
"9","1","FLO","True","1","Before Period 1 Day 9","BS","True"
"9","2","FLO","False","1","After Period 2 Day 9","R","True"
"9","4","FLO","False","1","After Period 4 Day 9","L1","True"
"9","5","FLO","True","1","Before Period 5 Day 9","L2","True"
"9","6","FLO","False","1","After Period 6 Day 9","AS","True"
"10","1","FLO","True","1","Before Period 1 Day 10","BS","True"
"10","2","FLO","False","1","After Period 2 Day 10","R","True"
"10","4","FLO","False","1","After Period 4 Day 10","L1","True"
"10","5","FLO","True","1","Before Period 5 Day 10","L2","True"
"10","6","FLO","False","1","After Period 6 Day 10","AS","True"
"1","2","FOL","False","1","AfterPeriod2Day1","R","True"
"1","4","FOL","False","1","AfterPeriod4Day1","L1","True"
"1","5","FOL","True","1","BeforePeriod5Day1","L2","True"
"1","1","FOL","True","1","Before Period1 Day 1","BS","True"
"1","6","FOL","False","1","AfterPeriod6Day1","AS","True"
"2","1","FOL","True","1","Before Period 1 Day 2","BS","True"
"2","2","FOL","False","1","After Period 2 Day 2","R","True"
"2","4","FOL","False","1","After Period 4 Day 2","L1","True"
"2","5","FOL","True","1","Before Period 5 Day 2","L2","True"
"2","6","FOL","False","1","After Period 6 Day 2","AS","True"
"3","1","FOL","True","1","Before Period 1 Day 3","BS","True"
"3","2","FOL","False","1","After Period 2 Day 3","R","True"
"3","4","FOL","False","1","After Period 4 Day 3","L1","True"
"3","5","FOL","True","1","Before Period 5 Day 3","L2","True"
"3","6","FOL","False","1","After Period 6 Day 3","AS","True"
"4","1","FOL","True","1","Before Period 1 Day 4","BS","True"
"4","2","FOL","False","1","After Period 2 Day 4","R","True"
"4","4","FOL","False","1","After Period 4 Day 4","L1","True"
"4","5","FOL","True","1","Before Period 5 Day 4","L2","True"
"4","6","FOL","False","1","After Period 6 Day 4","AS","True"
"5","1","FOL","True","1","Before Period 1 Day 5","BS","True"
"5","2","FOL","False","1","After Period 2 Day 5","R","True"
"5","4","FOL","False","1","After Period 4 Day 5","L1","True"
"5","5","FOL","True","1","Before Period 5 Day 5","L2","True"
"5","6","FOL","False","1","After Period 6 Day 5","AS","True"
"6","1","FOL","True","1","Before Period 1 Day 6","BS","True"
"6","2","FOL","False","1","After Period 2 Day 6","R","True"
"6","4","FOL","False","1","After Period 4 Day 6","L1","True"
"6","5","FOL","True","1","Before Period 5 Day 6","L2","True"
"6","6","FOL","False","1","After Period 6 Day 6","AS","True"
"7","1","FOL","True","1","Before Period 1 Day 7","BS","True"
"7","2","FOL","False","1","After Period 2 Day 7","R","True"
"7","4","FOL","False","1","After Period 4 Day 7","L1","True"
"7","5","FOL","True","1","Before Period 5 Day 7","L2","True"
"7","6","FOL","False","1","After Period 6 Day 7","AS","True"
"8","1","FOL","True","1","Before Period 1 Day 8","BS","True"
"8","2","FOL","False","1","After Period 2 Day 8","R","True"
"8","4","FOL","False","1","After Period 4 Day 8","L1","True"
"8","5","FOL","True","1","Before Period 5 Day 8","L2","True"
"8","6","FOL","False","1","After Period 6 Day 8","AS","True"
"9","1","FOL","True","1","Before Period 1 Day 9","BS","True"
"9","2","FOL","False","1","After Period 2 Day 9","R","True"
"9","4","FOL","False","1","After Period 4 Day 9","L1","True"
"9","5","FOL","True","1","Before Period 5 Day 9","L2","True"
"9","6","FOL","False","1","After Period 6 Day 9","AS","True"
"10","1","FOL","True","1","Before Period 1 Day 10","BS","True"
"10","2","FOL","False","1","After Period 2 Day 10","R","True"
"10","4","FOL","False","1","After Period 4 Day 10","L1","True"
"10","5","FOL","True","1","Before Period 5 Day 10","L2","True"
"10","6","FOL","False","1","After Period 6 Day 10","AS","True"
"1","2","HAR","False","1","AfterPeriod2Day1","R","True"
"1","4","HAR","False","1","AfterPeriod4Day1","L1","True"
"1","5","HAR","True","1","BeforePeriod5Day1","L2","True"
"1","1","HAR","True","1","Before Period1 Day 1","BS","True"
"1","6","HAR","False","1","AfterPeriod6Day1","AS","True"
"2","1","HAR","True","1","Before Period 1 Day 2","BS","True"
"2","2","HAR","False","1","After Period 2 Day 2","R","True"
"2","4","HAR","False","1","After Period 4 Day 2","L1","True"
"2","5","HAR","True","1","Before Period 5 Day 2","L2","True"
"2","6","HAR","False","1","After Period 6 Day 2","AS","True"
"3","1","HAR","True","1","Before Period 1 Day 3","BS","True"
"3","2","HAR","False","1","After Period 2 Day 3","R","True"
"3","4","HAR","False","1","After Period 4 Day 3","L1","True"
"3","5","HAR","True","1","Before Period 5 Day 3","L2","True"
"3","6","HAR","False","1","After Period 6 Day 3","AS","True"
"4","1","HAR","True","1","Before Period 1 Day 4","BS","True"
"4","2","HAR","False","1","After Period 2 Day 4","R","True"
"4","4","HAR","False","1","After Period 4 Day 4","L1","True"
"4","5","HAR","True","1","Before Period 5 Day 4","L2","True"
"4","6","HAR","False","1","After Period 6 Day 4","AS","True"
"5","1","HAR","True","1","Before Period 1 Day 5","BS","True"
