"Duty Code","Duty Name","Load","Teacher Code","DutyGuid","TeacherGuid"
"AVENUES2","Avenues Coordinator","0.00","HAR","{E556E559-2303-41EA-8EE2-2D4FD0711F02}","{1126D2C7-6DAE-4A86-B53A-DD6A4E639892}"
"AVENUESTA2","Avenues Teacher Assistant 2","0.00","","{87A85170-F28C-4F1E-96BD-0BAA7C1F6FD1}",""
"AVENUESTA3","Avenues Teacher Assistant 3","0.00","","{4D5ADAF4-3244-48CF-B2A4-30E8FB621199}",""
"AvenuesTL1","Avenues Teacher Lead Sem 1","2.00","SAN","{703F86B6-C270-401E-A927-27269599B8BC}","{56812F21-6BD0-4521-ADA1-903B05E60ED8}"
"SMM","Communications","2.00","","{8203EA43-87EF-455B-B197-F2AF8C12D390}",""
"CompClassART","Composite Class AME11/12","1.00","FEJ","{BBEA50CF-EBCD-4D34-BD67-671F474EDA9B}","{40AD2993-D198-472C-996E-80E1EE35B8B3}"
"CCDRA1009","Composite Class DRA10/09","1.00","","{91B28B8E-A15C-456A-8658-71C6809D06C1}",""
"CCDTS11/12","Composite Class DTS11/12","1.00","HIN","{8C378787-0F27-4C5F-870D-ED78D87A7A41}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}"
"CompClassEAL9/1","Composite Class EAL 9/10","1.00","CLK","{279A5F5E-620B-4E84-BE0E-7815ED9C4F0D}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"CCEAL11&12","Composite Class EAL11/12","1.00","WIL","{A1E8D675-1E33-4ACB-AED8-4674215E11ED}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}"
"CCEAL7&8","Composite Class EAL7/8","1.00","CLK","{EB6357A7-512F-4F23-9469-375EFC41DC5E}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"CCMUS","Composite Class MUS","1.00","MAR","{D7691DE3-71F5-4365-A8B7-5BEA295FF2F4}","{41B179B0-40FC-4775-892B-160A1B443EFB}"
"CCWDT11&12","Composite Class WDT11/12","1.00","MIR","{893529C4-2D9C-4B28-8AC9-853BEF084B28}","{0BAFB222-49D6-481A-B018-8CA786E66FEC}"
"CoverDra","Cover over-allotted teacher","0.00","","{78510AC9-34AD-493C-BED4-400541395C41}",""
"COVERARTWD","Cover over-allotted teachers","0.00","","{771736AA-5AA4-41A9-915F-0A924E1DE0EF}",""
"Drctr Sprt","Director of Sporting Academies","3.00","HAR","{DA5859ED-E072-4E36-AC8B-F7FC57FE5C94}","{1126D2C7-6DAE-4A86-B53A-DD6A4E639892}"
