"Yard Duty Area Name","Yard Duty Area Code","Site No","YardDutyAreaGuid"
"AreaAFrontSchool","A","1","{ABE0ECD5-9D9F-427F-B6CE-64B5FCC05D4B}"
"AreaBCanteen","B","1","{8246C2CC-D946-41EC-8920-7FEFDAEA552D}"
"AreaCOval","C","1","{CE0513D9-EF6C-4187-975E-13E2024A4117}"
"AreaDGymSocPACFr&Oval","D","1","{D469F27D-32CA-4518-9116-57B38CF9043F}"
"AreaEYr7area&BBCourts","E","1","{21C32D37-8567-4FB4-83E0-9559987CF8BE}"
"AreaFLockersBWing","F","1","{04C0DA04-5C84-4323-9C5F-22407F940034}"
"AreaGSci&InsideSenCentre","G","1","{1B7A556D-620A-4F45-BA9F-3D4EA96D48C8}"
"AreaHLibraryatLunch","H","1","{F684E49B-92F5-4E43-8EB1-CF8FBF6CA7C4}"
"BusStop1OppositeSide","I","1","{466FA991-249A-4D2A-B325-FEA3DFD9A7CC}"
"BusStop2SchoolSide","J","1","{3A8E59D2-E954-4244-825D-60CF26688218}"
"AreaKSeniorToilets","K","1","{B4040D8F-4698-49EC-BA14-FFCF2ADB6405}"
"AreaLJuniorToilets","L","1","{5BAD6E80-9CC7-481B-B356-8A74E0FA0E02}"
